Planet,mass,radius,mass_err,radius_err,rho,rho_ratio,rho_err,rho_ratio_err
synthetic_planet1,8.63831382,1.5599214419999998,0.431915691,0.0155992139999999,12.539274019022338,1.5226766716876434,0.7311590308010151,0.0887865436073512
synthetic_planet2,7.81110183,1.535822967,0.3905550920000001,0.01535823,11.880656101162977,1.4813621745664745,0.6927553466431201,0.0863775163600055
synthetic_planet3,5.209251711,1.417977626,0.260462586,0.014179776,10.067434370899878,1.3849387866658085,0.587027253108813,0.08075511413416964
synthetic_planet4,6.293068582,1.646075868,0.314653429,0.016460759,7.774357711330839,1.0229419108450186,0.45331906050771126,0.05964725102658621
synthetic_planet5,9.256702949,1.807942618,0.462835147,0.018079426,8.630858549912157,1.0285782021421028,0.503261208471428,0.05997589996683144
synthetic_planet6,4.47944263,1.524183316,0.223972132,0.015241833,6.970500573913664,0.9920086060310037,0.40644653483259235,0.05784354454461103
synthetic_planet7,4.118654855,1.4788519130000002,0.205932743,0.0147885189999999,7.0167004408729055,1.017030980129581,0.40914042672587225,0.059302587121972575
synthetic_planet8,2.808787301,1.330799499,0.140439365,0.013307995,6.566479090624805,1.0290696955793759,0.38288823693533297,0.06000455890989153
synthetic_planet9,5.016153309,1.519237976,0.250807665,0.01519238,7.882155107771647,1.0937310248679337,0.45960467392682686,0.06377493010159678
synthetic_planet10,5.510371771,1.579750101,0.275518589,0.015797501,7.701358210568881,1.04579539411074,0.44906249297204337,0.060979826412120526
synthetic_planet11,9.186026294,1.816036238,0.459301315,0.018160362,8.450954275344422,1.0092550284629676,0.4927710759579639,0.05884917490828727
synthetic_planet12,9.711716247,1.809175166,0.485585812,0.018091752,9.036613977770289,1.0627432169952857,0.5269206163086341,0.06196804602415331
synthetic_planet13,5.073750162,1.353961594,0.253687508,0.013539616,11.263195971942398,1.5588492836750276,0.6567515395261486,0.09089575192450929
synthetic_planet14,5.153768895,1.560272591,0.257688445,0.015602726,7.476099980318612,1.0310082150643982,0.4359277944394994,0.060117593186985986
synthetic_planet15,6.913852267999999,1.664653794,0.345692613,0.016646538,8.25847616216594,1.0618689418215652,0.48154777231289975,0.06191706719031351
synthetic_planet16,8.025252434,1.774291751,0.401262622,0.017742918,7.916536173258425,0.980190110640593,0.46160941962898777,0.05715441427871908
synthetic_planet17,8.569962323,1.5642425919999998,0.428498116,0.015642426,12.337245040977173,1.5013204100972444,0.7193788242772842,0.08754127099624365
synthetic_planet18,8.13532898,1.810022781,0.406766449,0.018100228,7.559178414330802,0.9326266740332582,0.44077205820990806,0.05438101287248052
synthetic_planet19,4.621065963,1.4853024769999998,0.231053298,0.014853025,7.770501538620201,1.0983193116666052,0.4530942083460989,0.06404247094701412
synthetic_planet20,5.13629818,1.5926172180000002,0.256814909,0.015926172,7.005959252109353,0.9669271737014763,0.4085141125407895,0.05638105818804254
