Planet,mass,radius,mass_err,radius_err
synthetic_planet1,8.63831382,1.559921442,0.431915691,0.015599214
synthetic_planet2,7.81110183,1.535822967,0.390555092,0.01535823
synthetic_planet3,5.209251711,1.417977626,0.260462586,0.014179776
synthetic_planet4,6.293068582,1.646075868,0.314653429,0.016460759
synthetic_planet5,9.256702949,1.807942618,0.462835147,0.018079426
synthetic_planet6,4.47944263,1.524183316,0.223972132,0.015241833
synthetic_planet7,4.118654855,1.478851913,0.205932743,0.014788519
synthetic_planet8,2.808787301,1.330799499,0.140439365,0.013307995
synthetic_planet9,5.016153309,1.519237976,0.250807665,0.01519238
synthetic_planet10,5.510371771,1.579750101,0.275518589,0.015797501
synthetic_planet11,9.186026294,1.816036238,0.459301315,0.018160362
synthetic_planet12,9.711716247,1.809175166,0.485585812,0.018091752
